m,n,r,d,||A||_0,||A^+||_0,||A^+||_1,||H||_0,||H||_1,time
1000,100,75,10,7743.2,4740.4,12.026429274860224,2794.2,71.56071893842045,6.571560001373291
1000,100,75,25,7803.2,4523.2,5.650277512879183,2815.8,39.50666140764816,6.740361642837525
1000,200,150,10,31004.4,18770.0,37.840787136874965,11236.4,451.1565189748304,11.557129907608033
1000,200,150,25,31482.8,17769.2,18.02287417917332,11388.0,275.2213069356015,8.120765447616577
1000,300,225,10,69610.0,42298.8,80.07718785559776,25473.4,1896.9387422733125,14.533547401428223
1000,300,225,25,71012.8,39571.2,38.17524717292745,25270.6,873.6572865503183,14.702877712249755
1000,400,300,10,124154.8,74795.6,146.0036117108529,45201.6,4229.132744891749,29.45343985557556
1000,400,300,25,124733.6,70079.6,69.00465236386758,45142.4,2107.624644835725,29.60312089920044
1000,500,375,10,194517.6,116468.0,245.8199986724711,70441.0,10278.490130209748,96.17196335792542
1000,500,375,25,194726.8,109638.8,115.42936946316402,70225.4,3922.354046581639,95.23633985519409
